X,Y,Z,dip,azimuth,polarity,formation,section
820.96181,200,-410.94102,-40,90,1,linglongbiotitegranite,sectionb
951.919525,200,-349.19865,-40,90,1,linglongbiotitegranite,sectionb
1092.781605,200,-273.2859,-40,90,1,linglongbiotitegranite,sectionb
1277.663085,200,-179.15409,-40,90,1,linglongbiotitegranite,sectionb
1364.6014,200,-145.75248,-40,90,1,linglongbiotitegranite,sectionb
1465.84602,200,-116.39955,-40,90,1,linglongbiotitegranite,sectionb
1569.29161,200,-66.80322,-40,90,1,linglongbiotitegranite,sectionb
0.0,200,-950.42763,-40,90,1,fault,sectionb
127.65626,200,-887.67309,-40,90,1,fault,sectionb
236.604275,200,-807.71166,-40,90,1,fault,sectionb
385.16975,200,-723.70155,-40,90,1,fault,sectionb
544.740075,200,-628.55757,-40,90,1,fault,sectionb
695.50652,200,-542.52312,-40,90,1,fault,sectionb
803.35405,200,-501.02415,-40,90,1,fault,sectionb
982.733105,200,-398.79498,-40,90,1,fault,sectionb
1154.408765,200,-308.71185,-40,90,1,fault,sectionb
1306.275695,200,-233.81127,-40,90,1,fault,sectionb
1457.04214,200,-159.92286,-40,90,1,fault,sectionb
1554.985305,200,-109.31436,-40,90,1,fault,sectionb
1.100485,200,-944.35461,-40,90,1,pyritesericitequartzalterationzone,sectionb
138.66111,200,-872.49054,-40,90,1,pyritesericitequartzalterationzone,sectionb
266.31737,200,-783.41958,-40,90,1,pyritesericitequartzalterationzone,sectionb
397.275085,200,-710.54334,-40,90,1,pyritesericitequartzalterationzone,sectionb
557.945895,200,-625.52106,-40,90,1,pyritesericitequartzalterationzone,sectionb
704.3104,200,-546.5718,-40,90,1,pyritesericitequartzalterationzone,sectionb
826.464235,200,-481.79292,-40,90,1,pyritesericitequartzalterationzone,sectionb
949.718555,200,-411.95319,-40,90,1,pyritesericitequartzalterationzone,sectionb
1077.374815,200,-346.16214,-40,90,1,pyritesericitequartzalterationzone,sectionb
1188.5238,200,-289.48062,-40,90,1,pyritesericitequartzalterationzone,sectionb
1322.78297,200,-226.72608,-40,90,1,pyritesericitequartzalterationzone,sectionb
1448.23826,200,-164.98371,-40,90,1,pyritesericitequartzalterationzone,sectionb
1549.48288,200,-117.41172,-40,90,1,pyritesericitequartzalterationzone,sectionb
1587.999855,200,-121.4604,-40,90,1,pyritesericitequartzalterationzone,sectionb
1507.66445,200,-189.27579,-40,90,1,pyritesericitequartzalterationzone,sectionb
1398.716435,200,-230.77476,-40,90,1,pyritesericitequartzalterationzone,sectionb
1287.56745,200,-264.17637,-40,90,1,pyritesericitequartzalterationzone,sectionb
1186.32283,200,-317.82138,-40,90,1,pyritesericitequartzalterationzone,sectionb
1090.580635,200,-360.33252,-40,90,1,pyritesericitequartzalterationzone,sectionb
982.733105,200,-425.1114,-40,90,1,pyritesericitequartzalterationzone,sectionb
888.091395,200,-475.7199,-40,90,1,pyritesericitequartzalterationzone,sectionb
763.73659,200,-552.64482,-40,90,1,pyritesericitequartzalterationzone,sectionb
659.190515,200,-613.37502,-40,90,1,pyritesericitequartzalterationzone,sectionb
564.548805,200,-667.02003,-40,90,1,pyritesericitequartzalterationzone,sectionb
495.21825,200,-702.44598,-40,90,1,pyritesericitequartzalterationzone,sectionb
424.78721,200,-743.94495,-40,90,1,pyritesericitequartzalterationzone,sectionb
321.34162,200,-804.67515,-40,90,1,pyritesericitequartzalterationzone,sectionb
258.613975,200,-845.16195,-40,90,1,pyritesericitequartzalterationzone,sectionb
198.0873,200,-878.56356,-40,90,1,pyritesericitequartzalterationzone,sectionb
114.45044,200,-909.94083,-40,90,1,pyritesericitequartzalterationzone,sectionb
15.40679,200,-953.46414,-40,90,1,pyritesericitequartzalterationzone,sectionb
1.100485,200,-1008.12132,-40,90,1,sericitequartzalterationzone,sectionb
125.45529,200,-952.45197,-40,90,1,sericitequartzalterationzone,sectionb
282.824645,200,-883.62441,-40,90,1,sericitequartzalterationzone,sectionb
390.672175,200,-834.02808,-40,90,1,sericitequartzalterationzone,sectionb
497.41922,200,-770.26137,-40,90,1,sericitequartzalterationzone,sectionb
612.970145,200,-701.43381,-40,90,1,sericitequartzalterationzone,sectionb
727.420585,200,-643.74012,-40,90,1,sericitequartzalterationzone,sectionb
838.56957,200,-581.99775,-40,90,1,sericitequartzalterationzone,sectionb
949.718555,200,-511.14585,-40,90,1,sericitequartzalterationzone,sectionb
1074.07336,200,-439.28178,-40,90,1,sericitequartzalterationzone,sectionb
1178.619435,200,-382.60026,-40,90,1,sericitequartzalterationzone,sectionb
1294.17036,200,-336.04044,-40,90,1,sericitequartzalterationzone,sectionb
1391.01304,200,-288.46845,-40,90,1,sericitequartzalterationzone,sectionb
1490.05669,200,-234.82344,-40,90,1,sericitequartzalterationzone,sectionb
1559.387245,200,-193.32447,-40,90,1,sericitequartzalterationzone,sectionb
3.301455,200,-1163.9955,-40,90,1,Kfeldspathizationzone,sectionb
180.47954,200,-1109.33832,-40,90,1,Kfeldspathizationzone,sectionb
390.672175,200,-1031.40123,-40,90,1,Kfeldspathizationzone,sectionb
564.548805,200,-945.36678,-40,90,1,Kfeldspathizationzone,sectionb
708.71234,200,-865.40535,-40,90,1,Kfeldspathizationzone,sectionb
833.067145,200,-801.63864,-40,90,1,Kfeldspathizationzone,sectionb
958.522435,200,-760.13967,-40,90,1,Kfeldspathizationzone,sectionb
1028.953475,200,-704.47032,-40,90,1,Kfeldspathizationzone,sectionb
1134.600035,200,-608.31417,-40,90,1,Kfeldspathizationzone,sectionb
1256.75387,200,-517.21887,-40,90,1,Kfeldspathizationzone,sectionb
1399.81692,200,-436.24527,-40,90,1,Kfeldspathizationzone,sectionb
1488.956205,200,-384.6246,-40,90,1,Kfeldspathizationzone,sectionb
1557.186275,200,-328.95525,-40,90,1,Kfeldspathizationzone,sectionb
