X,Y,Z,formation
14.94,70.0,-481.16999999999996,4.0
14.94,70.0,-458.78999999999996,4.0
14.94,70.0,-436.40999999999997,4.0
14.94,70.0,-414.03,4.0
14.94,70.0,-391.65,4.0
14.94,70.0,-369.27,4.0
14.94,70.0,-346.89,4.0
14.94,70.0,-324.51,4.0
14.94,70.0,-302.13,4.0
14.94,70.0,-279.75,4.0
14.94,70.0,-257.37,4.0
14.94,70.0,-234.99,4.0
14.94,70.0,-212.61,4.0
14.94,70.0,-190.23000000000002,4.0
14.94,70.0,-167.85000000000002,4.0
14.94,70.0,-145.47000000000003,4.0
14.94,70.0,-123.09000000000003,4.0
14.94,70.0,-100.71000000000004,4.0
14.94,70.0,-78.32999999999993,4.0
14.94,90.0,-1107.81,4.0
14.94,90.0,-1085.4299999999998,4.0
14.94,90.0,-1063.05,4.0
14.94,90.0,-1040.6699999999998,4.0
14.94,90.0,-1018.29,4.0
14.94,90.0,-995.91,4.0
14.94,90.0,-973.53,4.0
14.94,90.0,-951.15,4.0
14.94,90.0,-928.77,4.0
14.94,90.0,-906.39,4.0
14.94,90.0,-884.01,4.0
14.94,90.0,-861.63,4.0
14.94,90.0,-839.25,4.0
14.94,90.0,-816.8699999999999,4.0
14.94,90.0,-794.49,4.0
14.94,90.0,-772.1099999999999,4.0
14.94,90.0,-749.73,4.0
14.94,90.0,-727.3499999999999,4.0
14.94,90.0,-704.97,4.0
14.94,90.0,-682.5899999999999,4.0
14.94,90.0,-660.21,4.0
14.94,90.0,-637.8299999999999,4.0
14.94,90.0,-615.45,4.0
14.94,90.0,-593.0699999999999,4.0
14.94,90.0,-570.6899999999999,4.0
14.94,90.0,-548.31,4.0
14.94,90.0,-525.93,4.0
14.94,90.0,-503.54999999999995,4.0
14.94,90.0,-481.16999999999996,4.0
14.94,90.0,-458.78999999999996,4.0
14.94,90.0,-436.40999999999997,4.0
14.94,90.0,-414.03,4.0
14.94,90.0,-391.65,4.0
14.94,90.0,-369.27,4.0
14.94,90.0,-346.89,4.0
14.94,90.0,-324.51,4.0
14.94,90.0,-302.13,4.0
14.94,90.0,-279.75,4.0
14.94,90.0,-257.37,4.0
14.94,90.0,-234.99,4.0
14.94,90.0,-212.61,4.0
14.94,90.0,-190.23000000000002,4.0
14.94,90.0,-167.85000000000002,4.0
14.94,90.0,-145.47000000000003,4.0
14.94,90.0,-123.09000000000003,4.0
14.94,90.0,-100.71000000000004,4.0
14.94,90.0,-78.32999999999993,4.0
14.94,110.0,-1107.81,4.0
14.94,110.0,-1085.4299999999998,4.0
14.94,110.0,-1063.05,4.0
14.94,110.0,-1040.6699999999998,4.0
14.94,110.0,-1018.29,4.0
14.94,110.0,-995.91,4.0
14.94,110.0,-973.53,4.0
14.94,110.0,-951.15,4.0
14.94,110.0,-928.77,4.0
14.94,110.0,-906.39,4.0
14.94,110.0,-884.01,4.0
14.94,110.0,-861.63,4.0
14.94,110.0,-839.25,4.0
14.94,110.0,-816.8699999999999,4.0
14.94,110.0,-794.49,4.0
14.94,110.0,-772.1099999999999,4.0
14.94,110.0,-749.73,4.0
14.94,110.0,-727.3499999999999,4.0
14.94,110.0,-704.97,4.0
14.94,110.0,-682.5899999999999,4.0
14.94,110.0,-660.21,4.0
14.94,110.0,-637.8299999999999,4.0
14.94,110.0,-615.45,4.0
14.94,110.0,-593.0699999999999,4.0
14.94,110.0,-570.6899999999999,4.0
14.94,110.0,-548.31,4.0
14.94,110.0,-525.93,4.0
14.94,110.0,-503.54999999999995,4.0
14.94,110.0,-481.16999999999996,4.0
14.94,110.0,-458.78999999999996,4.0
14.94,110.0,-436.40999999999997,4.0
14.94,110.0,-414.03,4.0
14.94,110.0,-391.65,4.0
14.94,110.0,-369.27,4.0
14.94,110.0,-346.89,4.0
14.94,110.0,-324.51,4.0
14.94,110.0,-302.13,4.0
14.94,110.0,-279.75,4.0
14.94,110.0,-257.37,4.0
14.94,110.0,-234.99,4.0
14.94,110.0,-212.61,4.0
14.94,110.0,-190.23000000000002,4.0
14.94,110.0,-167.85000000000002,4.0
14.94,110.0,-145.47000000000003,4.0
14.94,110.0,-123.09000000000003,4.0
14.94,110.0,-100.71000000000004,4.0
14.94,110.0,-78.32999999999993,4.0
14.94,130.0,-1107.81,4.0
14.94,130.0,-1085.4299999999998,4.0
14.94,130.0,-1063.05,4.0
14.94,130.0,-1040.6699999999998,4.0
14.94,130.0,-1018.29,4.0
14.94,130.0,-995.91,4.0
14.94,130.0,-973.53,4.0
14.94,130.0,-951.15,4.0
14.94,130.0,-928.77,4.0
14.94,130.0,-906.39,4.0
14.94,130.0,-884.01,4.0
14.94,130.0,-861.63,4.0
14.94,130.0,-839.25,4.0
14.94,130.0,-816.8699999999999,4.0
14.94,130.0,-794.49,4.0
14.94,130.0,-772.1099999999999,4.0
14.94,130.0,-749.73,4.0
14.94,130.0,-727.3499999999999,4.0
14.94,130.0,-704.97,4.0
14.94,130.0,-682.5899999999999,4.0
14.94,130.0,-660.21,4.0
14.94,130.0,-637.8299999999999,4.0
14.94,130.0,-615.45,4.0
14.94,130.0,-593.0699999999999,4.0
14.94,130.0,-570.6899999999999,4.0
14.94,130.0,-548.31,4.0
14.94,130.0,-525.93,4.0
14.94,130.0,-503.54999999999995,4.0
14.94,130.0,-481.16999999999996,4.0
14.94,130.0,-458.78999999999996,4.0
14.94,130.0,-436.40999999999997,4.0
14.94,130.0,-414.03,4.0
14.94,130.0,-391.65,4.0
14.94,130.0,-369.27,4.0
14.94,130.0,-346.89,4.0
14.94,130.0,-324.51,4.0
14.94,130.0,-302.13,4.0
14.94,130.0,-279.75,4.0
14.94,130.0,-257.37,4.0
14.94,130.0,-234.99,4.0
14.94,130.0,-212.61,4.0
14.94,130.0,-190.23000000000002,4.0
14.94,130.0,-167.85000000000002,4.0
14.94,130.0,-145.47000000000003,4.0
14.94,130.0,-123.09000000000003,4.0
14.94,130.0,-100.71000000000004,4.0
14.94,130.0,-78.32999999999993,4.0
14.94,150.0,-1107.81,4.0
14.94,150.0,-1085.4299999999998,4.0
14.94,150.0,-1063.05,4.0
14.94,150.0,-1040.6699999999998,4.0
14.94,150.0,-1018.29,4.0
14.94,150.0,-995.91,4.0
14.94,150.0,-973.53,4.0
14.94,150.0,-951.15,4.0
14.94,150.0,-928.77,4.0
14.94,150.0,-906.39,4.0
14.94,150.0,-884.01,4.0
14.94,150.0,-861.63,4.0
14.94,150.0,-839.25,4.0
14.94,150.0,-816.8699999999999,4.0
14.94,150.0,-794.49,4.0
14.94,150.0,-772.1099999999999,4.0
14.94,150.0,-749.73,4.0
14.94,150.0,-727.3499999999999,4.0
14.94,150.0,-704.97,4.0
14.94,150.0,-682.5899999999999,4.0
14.94,150.0,-660.21,4.0
14.94,150.0,-637.8299999999999,4.0
14.94,150.0,-615.45,4.0
14.94,150.0,-593.0699999999999,4.0
14.94,150.0,-570.6899999999999,4.0
14.94,150.0,-548.31,4.0
14.94,150.0,-525.93,4.0
14.94,150.0,-503.54999999999995,4.0
14.94,150.0,-481.16999999999996,4.0
14.94,150.0,-458.78999999999996,4.0
14.94,150.0,-436.40999999999997,4.0
14.94,150.0,-414.03,4.0
14.94,150.0,-391.65,4.0
14.94,150.0,-369.27,4.0
14.94,150.0,-346.89,4.0
14.94,150.0,-324.51,4.0
14.94,150.0,-302.13,4.0
14.94,150.0,-279.75,4.0
14.94,150.0,-257.37,4.0
14.94,150.0,-234.99,4.0
14.94,150.0,-212.61,4.0
14.94,150.0,-190.23000000000002,4.0
14.94,150.0,-167.85000000000002,4.0
14.94,150.0,-145.47000000000003,4.0
14.94,150.0,-123.09000000000003,4.0
14.94,150.0,-100.71000000000004,4.0
14.94,150.0,-78.32999999999993,4.0
14.94,170.0,-1107.81,4.0
14.94,170.0,-1085.4299999999998,4.0
14.94,170.0,-1063.05,4.0
14.94,170.0,-1040.6699999999998,4.0
14.94,170.0,-1018.29,4.0
14.94,170.0,-995.91,4.0
14.94,170.0,-973.53,4.0
14.94,170.0,-951.15,4.0
14.94,170.0,-928.77,4.0
14.94,170.0,-906.39,4.0
14.94,170.0,-884.01,4.0
14.94,170.0,-861.63,4.0
14.94,170.0,-839.25,4.0
14.94,170.0,-816.8699999999999,4.0
14.94,170.0,-794.49,4.0
14.94,170.0,-772.1099999999999,4.0
14.94,170.0,-749.73,4.0
14.94,170.0,-727.3499999999999,4.0
14.94,170.0,-704.97,4.0
14.94,170.0,-682.5899999999999,4.0
14.94,170.0,-660.21,4.0
14.94,170.0,-637.8299999999999,4.0
14.94,170.0,-615.45,4.0
14.94,170.0,-593.0699999999999,4.0
14.94,170.0,-570.6899999999999,4.0
14.94,170.0,-548.31,4.0
14.94,170.0,-525.93,4.0
14.94,170.0,-503.54999999999995,4.0
14.94,170.0,-481.16999999999996,4.0
14.94,170.0,-458.78999999999996,4.0
14.94,170.0,-436.40999999999997,4.0
14.94,170.0,-414.03,4.0
14.94,170.0,-391.65,4.0
14.94,170.0,-369.27,4.0
14.94,170.0,-346.89,4.0
14.94,170.0,-324.51,4.0
14.94,170.0,-302.13,4.0
14.94,170.0,-279.75,4.0
14.94,170.0,-257.37,4.0
14.94,170.0,-234.99,4.0
14.94,170.0,-212.61,4.0
14.94,170.0,-190.23000000000002,4.0
14.94,170.0,-167.85000000000002,4.0
14.94,170.0,-145.47000000000003,4.0
14.94,170.0,-123.09000000000003,4.0
14.94,170.0,-100.71000000000004,4.0
14.94,170.0,-78.32999999999993,4.0
14.94,190.0,-1107.81,4.0
14.94,190.0,-1085.4299999999998,4.0
14.94,190.0,-1063.05,4.0
14.94,190.0,-1040.6699999999998,4.0
14.94,190.0,-1018.29,4.0
14.94,190.0,-995.91,4.0
14.94,190.0,-973.53,4.0
14.94,190.0,-951.15,4.0
14.94,190.0,-928.77,4.0
14.94,190.0,-906.39,4.0
14.94,190.0,-884.01,4.0
14.94,190.0,-861.63,4.0
14.94,190.0,-839.25,4.0
14.94,190.0,-816.8699999999999,4.0
14.94,190.0,-794.49,4.0
14.94,190.0,-772.1099999999999,4.0
14.94,190.0,-749.73,4.0
14.94,190.0,-727.3499999999999,4.0
14.94,190.0,-704.97,4.0
14.94,190.0,-682.5899999999999,4.0
14.94,190.0,-660.21,4.0
14.94,190.0,-637.8299999999999,4.0
14.94,190.0,-615.45,4.0
14.94,190.0,-593.0699999999999,4.0
14.94,190.0,-570.6899999999999,4.0
14.94,190.0,-548.31,4.0
14.94,190.0,-525.93,4.0
14.94,190.0,-503.54999999999995,4.0
14.94,190.0,-481.16999999999996,4.0
14.94,190.0,-458.78999999999996,4.0
14.94,190.0,-436.40999999999997,4.0
14.94,190.0,-414.03,4.0
14.94,190.0,-391.65,4.0
14.94,190.0,-369.27,4.0
14.94,190.0,-346.89,4.0
14.94,190.0,-324.51,4.0
14.94,190.0,-302.13,4.0
14.94,190.0,-279.75,4.0
14.94,190.0,-257.37,4.0
14.94,190.0,-234.99,4.0
14.94,190.0,-212.61,4.0
14.94,190.0,-190.23000000000002,4.0
14.94,190.0,-167.85000000000002,4.0
14.94,190.0,-145.47000000000003,4.0
14.94,190.0,-123.09000000000003,4.0
14.94,190.0,-100.71000000000004,4.0
14.94,190.0,-78.32999999999993,4.0
14.94,210.0,-1107.81,4.0
14.94,210.0,-1085.4299999999998,4.0
14.94,210.0,-1063.05,4.0
14.94,210.0,-1040.6699999999998,4.0
14.94,210.0,-1018.29,4.0
14.94,210.0,-995.91,4.0
14.94,210.0,-973.53,4.0
14.94,210.0,-951.15,4.0
14.94,210.0,-928.77,4.0
14.94,210.0,-906.39,4.0
14.94,210.0,-884.01,4.0
14.94,210.0,-861.63,4.0
14.94,210.0,-839.25,4.0
14.94,210.0,-816.8699999999999,4.0
14.94,210.0,-794.49,4.0
14.94,210.0,-772.1099999999999,4.0
14.94,210.0,-749.73,4.0
14.94,210.0,-727.3499999999999,4.0
14.94,210.0,-704.97,4.0
14.94,210.0,-682.5899999999999,4.0
14.94,210.0,-660.21,4.0
14.94,210.0,-637.8299999999999,4.0
14.94,210.0,-615.45,4.0
14.94,210.0,-593.0699999999999,4.0
14.94,210.0,-570.6899999999999,4.0
14.94,210.0,-548.31,4.0
14.94,210.0,-525.93,4.0
14.94,210.0,-503.54999999999995,4.0
14.94,210.0,-481.16999999999996,4.0
14.94,210.0,-458.78999999999996,4.0
14.94,210.0,-436.40999999999997,4.0
14.94,210.0,-414.03,4.0
14.94,210.0,-391.65,4.0
14.94,210.0,-369.27,4.0
14.94,210.0,-346.89,4.0
14.94,210.0,-324.51,4.0
14.94,210.0,-302.13,4.0
14.94,210.0,-279.75,4.0
14.94,210.0,-257.37,4.0
14.94,210.0,-234.99,4.0
14.94,210.0,-212.61,4.0
14.94,210.0,-190.23000000000002,4.0
14.94,210.0,-167.85000000000002,4.0
14.94,210.0,-145.47000000000003,4.0
14.94,210.0,-123.09000000000003,4.0
14.94,210.0,-100.71000000000004,4.0
14.94,210.0,-78.32999999999993,4.0
14.94,230.0,-1107.81,4.0
14.94,230.0,-1085.4299999999998,4.0
14.94,230.0,-1063.05,4.0
14.94,230.0,-1040.6699999999998,4.0
14.94,230.0,-1018.29,4.0
14.94,230.0,-995.91,4.0
14.94,230.0,-973.53,4.0
14.94,230.0,-951.15,4.0
14.94,230.0,-928.77,4.0
14.94,230.0,-906.39,4.0
14.94,230.0,-884.01,4.0
14.94,230.0,-861.63,4.0
14.94,230.0,-839.25,4.0
14.94,230.0,-816.8699999999999,4.0
14.94,230.0,-794.49,4.0
14.94,230.0,-772.1099999999999,4.0
14.94,230.0,-749.73,4.0
14.94,230.0,-727.3499999999999,4.0
14.94,230.0,-704.97,4.0
14.94,230.0,-682.5899999999999,4.0
14.94,230.0,-660.21,4.0
14.94,230.0,-637.8299999999999,4.0
14.94,230.0,-615.45,4.0
14.94,230.0,-593.0699999999999,4.0
14.94,230.0,-570.6899999999999,4.0
14.94,230.0,-548.31,4.0
14.94,230.0,-525.93,4.0
14.94,230.0,-503.54999999999995,4.0
14.94,230.0,-481.16999999999996,4.0
14.94,230.0,-458.78999999999996,4.0
14.94,230.0,-436.40999999999997,4.0
14.94,230.0,-414.03,4.0
14.94,230.0,-391.65,4.0
14.94,230.0,-369.27,4.0
14.94,230.0,-346.89,4.0
14.94,230.0,-324.51,4.0
14.94,230.0,-302.13,4.0
14.94,230.0,-279.75,4.0
14.94,230.0,-257.37,4.0
14.94,230.0,-234.99,4.0
14.94,230.0,-212.61,4.0
14.94,230.0,-190.23000000000002,4.0
14.94,230.0,-167.85000000000002,4.0
14.94,230.0,-145.47000000000003,4.0
14.94,230.0,-123.09000000000003,4.0
14.94,230.0,-100.71000000000004,4.0
14.94,230.0,-78.32999999999993,4.0
14.94,250.0,-1107.81,4.0
14.94,250.0,-1085.4299999999998,4.0
14.94,250.0,-1063.05,4.0
14.94,250.0,-1040.6699999999998,4.0
14.94,250.0,-1018.29,4.0
14.94,250.0,-995.91,4.0
14.94,250.0,-973.53,4.0
14.94,250.0,-951.15,4.0
14.94,250.0,-928.77,4.0
14.94,250.0,-906.39,4.0
14.94,250.0,-884.01,4.0
14.94,250.0,-861.63,4.0
14.94,250.0,-839.25,4.0
14.94,250.0,-816.8699999999999,4.0
14.94,250.0,-794.49,4.0
14.94,250.0,-772.1099999999999,4.0
14.94,250.0,-749.73,4.0
14.94,250.0,-727.3499999999999,4.0
14.94,250.0,-704.97,4.0
14.94,250.0,-682.5899999999999,4.0
14.94,250.0,-660.21,4.0
14.94,250.0,-637.8299999999999,4.0
14.94,250.0,-615.45,4.0
14.94,250.0,-593.0699999999999,4.0
14.94,250.0,-570.6899999999999,4.0
14.94,250.0,-548.31,4.0
14.94,250.0,-525.93,4.0
14.94,250.0,-503.54999999999995,4.0
14.94,250.0,-481.16999999999996,4.0
14.94,250.0,-458.78999999999996,4.0
14.94,250.0,-436.40999999999997,4.0
14.94,250.0,-414.03,4.0
14.94,250.0,-391.65,4.0
14.94,250.0,-369.27,4.0
14.94,250.0,-346.89,4.0
14.94,250.0,-324.51,4.0
14.94,250.0,-302.13,4.0
14.94,250.0,-279.75,4.0
14.94,250.0,-257.37,4.0
14.94,250.0,-234.99,4.0
14.94,250.0,-212.61,4.0
14.94,250.0,-190.23000000000002,4.0
14.94,250.0,-167.85000000000002,4.0
14.94,250.0,-145.47000000000003,4.0
14.94,250.0,-123.09000000000003,4.0
14.94,250.0,-100.71000000000004,4.0
14.94,250.0,-78.32999999999993,4.0
14.94,270.0,-1107.81,4.0
14.94,270.0,-1085.4299999999998,4.0
14.94,270.0,-1063.05,4.0
14.94,270.0,-1040.6699999999998,4.0
14.94,270.0,-1018.29,4.0
14.94,270.0,-995.91,4.0
14.94,270.0,-973.53,4.0
14.94,270.0,-951.15,4.0
14.94,270.0,-928.77,4.0
14.94,270.0,-906.39,4.0
14.94,270.0,-884.01,4.0
14.94,270.0,-861.63,4.0
14.94,270.0,-839.25,4.0
14.94,270.0,-816.8699999999999,4.0
14.94,270.0,-794.49,4.0
14.94,270.0,-772.1099999999999,4.0
14.94,270.0,-749.73,4.0
14.94,270.0,-727.3499999999999,4.0
14.94,270.0,-704.97,4.0
14.94,270.0,-682.5899999999999,4.0
14.94,270.0,-660.21,4.0
14.94,270.0,-637.8299999999999,4.0
14.94,270.0,-615.45,4.0
14.94,270.0,-593.0699999999999,4.0
14.94,270.0,-570.6899999999999,4.0
14.94,270.0,-548.31,4.0
14.94,270.0,-525.93,4.0
14.94,270.0,-503.54999999999995,4.0
14.94,270.0,-481.16999999999996,4.0
14.94,270.0,-458.78999999999996,4.0
14.94,270.0,-436.40999999999997,4.0
14.94,270.0,-414.03,4.0
14.94,270.0,-391.65,4.0
14.94,270.0,-369.27,4.0
14.94,270.0,-346.89,4.0
14.94,270.0,-324.51,4.0
14.94,270.0,-302.13,4.0
14.94,270.0,-279.75,4.0
14.94,270.0,-257.37,4.0
14.94,270.0,-234.99,4.0
14.94,270.0,-212.61,4.0
14.94,270.0,-190.23000000000002,4.0
14.94,270.0,-167.85000000000002,4.0
14.94,270.0,-145.47000000000003,4.0
14.94,270.0,-123.09000000000003,4.0
14.94,270.0,-100.71000000000004,4.0
14.94,270.0,-78.32999999999993,4.0
14.94,290.0,-1107.81,4.0
14.94,290.0,-1085.4299999999998,4.0
14.94,290.0,-1063.05,4.0
14.94,290.0,-1040.6699999999998,4.0
14.94,290.0,-1018.29,4.0
14.94,290.0,-995.91,4.0
14.94,290.0,-973.53,4.0
14.94,290.0,-951.15,4.0
14.94,290.0,-928.77,4.0
14.94,290.0,-906.39,4.0
14.94,290.0,-884.01,4.0
14.94,290.0,-861.63,4.0
14.94,290.0,-839.25,4.0
14.94,290.0,-816.8699999999999,4.0
14.94,290.0,-794.49,4.0
14.94,290.0,-772.1099999999999,4.0
14.94,290.0,-749.73,4.0
14.94,290.0,-727.3499999999999,4.0
14.94,290.0,-704.97,4.0
14.94,290.0,-682.5899999999999,4.0
14.94,290.0,-660.21,4.0
14.94,290.0,-637.8299999999999,4.0
14.94,290.0,-615.45,4.0
14.94,290.0,-593.0699999999999,4.0
14.94,290.0,-570.6899999999999,4.0
14.94,290.0,-548.31,4.0
14.94,290.0,-525.93,4.0
14.94,290.0,-503.54999999999995,4.0
14.94,290.0,-481.16999999999996,4.0
14.94,290.0,-458.78999999999996,4.0
14.94,290.0,-436.40999999999997,4.0
14.94,290.0,-414.03,4.0
14.94,290.0,-391.65,4.0
14.94,290.0,-369.27,4.0
14.94,290.0,-346.89,4.0
14.94,290.0,-324.51,4.0
14.94,290.0,-302.13,4.0
14.94,290.0,-279.75,4.0
14.94,290.0,-257.37,4.0
14.94,290.0,-234.99,4.0
14.94,290.0,-212.61,4.0
14.94,290.0,-190.23000000000002,4.0
14.94,290.0,-167.85000000000002,4.0
14.94,290.0,-145.47000000000003,4.0
14.94,290.0,-123.09000000000003,4.0
14.94,290.0,-100.71000000000004,4.0
14.94,290.0,-78.32999999999993,4.0
14.94,310.0,-1107.81,4.0
14.94,310.0,-1085.4299999999998,4.0
14.94,310.0,-1063.05,4.0
14.94,310.0,-1040.6699999999998,4.0
14.94,310.0,-1018.29,4.0
14.94,310.0,-995.91,4.0
14.94,310.0,-973.53,4.0
14.94,310.0,-951.15,4.0
14.94,310.0,-928.77,4.0
14.94,310.0,-906.39,4.0
14.94,310.0,-884.01,4.0
14.94,310.0,-861.63,4.0
14.94,310.0,-839.25,4.0
14.94,310.0,-816.8699999999999,4.0
14.94,310.0,-794.49,4.0
14.94,310.0,-772.1099999999999,4.0
14.94,310.0,-749.73,4.0
14.94,310.0,-727.3499999999999,4.0
14.94,310.0,-704.97,4.0
14.94,310.0,-682.5899999999999,4.0
14.94,310.0,-660.21,4.0
14.94,310.0,-637.8299999999999,4.0
14.94,310.0,-615.45,4.0
14.94,310.0,-593.0699999999999,4.0
14.94,310.0,-570.6899999999999,4.0
14.94,310.0,-548.31,4.0
14.94,310.0,-525.93,4.0
14.94,310.0,-503.54999999999995,4.0
14.94,310.0,-481.16999999999996,4.0
14.94,310.0,-458.78999999999996,4.0
14.94,310.0,-436.40999999999997,4.0
14.94,310.0,-414.03,4.0
14.94,310.0,-391.65,4.0
14.94,310.0,-369.27,4.0
14.94,310.0,-346.89,4.0
14.94,310.0,-324.51,4.0
14.94,310.0,-302.13,4.0
14.94,310.0,-279.75,4.0
14.94,310.0,-257.37,4.0
14.94,310.0,-234.99,4.0
14.94,310.0,-212.61,4.0
